ID,Additional_Comments,Label
1,"I have no idea why this is a separate ticket system, and I have never succeeded in making the UI work.",
2,Incredibly cumbersome and clunky (TAG Tasks for example).  Not easy to navigate at all.  Not intuitive.  Advanced searching practically requires coding experience.  Knowledge base searching is also less than ideal.,
3,Hard to be satisfied with a tool that makes it so hard to do your job.,
4,Remedy is terrible. slow. times out ALL THE TIME. the dropdowns for selecting a client mnemonic are terrible - does anyone from the Remedy team actually use them? Why are they so bad?!?,
5,Tool is so slow and constantly hangs.  Especially in Asset Management.  Just a mess in general.,
6,"Remedy is the worst issue tracking software I've evere used.  Some of my IT industry friends asked what we used and were surprised that a company like Cerner uses Remedy. It's hard to navigate, we close tickets, and then the next day they show back up in our queue wiht all the information lost, we can't tell who is ticket dumping because we only see their Cerner log in ID and can't contact  them via Skype for more info since we can no longer look up their names",
7,So bad. Please please replace or fix Remedy!,
8,"slow, not user friendly, takes forever to create tickets.",
9,very poor performance!,
10,very hard to figure out who i should be opening the ticket with.,
11,"It has been very slow and often requires a refresh of the connection, which blanks out anything you were doing.  This wastes loads of time re-entering information in CR or searching in the system for data.",
12,Confusing and I never have access to the things I need. I constantly have to log tickets to be allowed to do various things...,
13,slow and klunky,
14,slooooooow,
15,"awful; slowness daily, it is very delayed when clicking through the Remedy pages; icons sometimes are not visible, requiring a complete computer reboot to finally display",
16,"tool is too slow, always an issue randomly, couldn't log tickets over the weekend.",
17,Remedy's availability has not been very good at all.,
18,it is very very slow,
19,Horrible wait times,
20,"When Remedy times out, I cannot log back in on any browser for weeks",
21,"Soooo sloooow. I also with the ""email"" box would close once we successfully send an email.",
22,even more clicks than Navigator,
23,"it's getting slower and slower.  Workflow is clunky, messaging from web services (WSI SRAPP) is not good, does not specify the problem, only that there is one.",
24,"Slow, has very slow and weak search capabilities.",
25,"Slow, unreliable, high resistance to enabling features/functionality in the product",
26,"Slow to use, too much downtime, mobile app please!",
